model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
ASK14,0.01,p0p010,SA,5,VLIN,660,660,,ASK14_Coeffs,B5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,b,-1.47,-1.47,,ASK14_Coeffs,C5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,n,1.5,1.5,,ASK14_Coeffs,D5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,M1,6.75,6.75,,ASK14_Coeffs,E5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,c,2.4,2.4,,ASK14_Coeffs,F5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,c4,4.5,4.5,,ASK14_Coeffs,G5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a1,0.587,0.587,,ASK14_Coeffs,H5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a2,-0.79,-0.79,,ASK14_Coeffs,I5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a3,0.275,0.275,,ASK14_Coeffs,J5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a4,-0.1,-0.1,,ASK14_Coeffs,K5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a5,-0.41,-0.41,,ASK14_Coeffs,L5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a6,2.1541,2.1541,,ASK14_Coeffs,M5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a7,0,0,,ASK14_Coeffs,N5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a8,-0.015,-0.015,,ASK14_Coeffs,O5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
