model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
BSSA14,0.01,p0p010,SA,5,e0,0.4534,0.4534,,BSSA14_Coeffs,B5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,e1,0.4916,0.4916,,BSSA14_Coeffs,C5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,e2,0.2519,0.2519,,BSSA14_Coeffs,D5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,e3,0.4599,0.4599,,BSSA14_Coeffs,E5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,e4,1.421,1.421,,BSSA14_Coeffs,F5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,e5,0.04932,0.04932,,BSSA14_Coeffs,G5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,e6,-0.1659,-0.1659,,BSSA14_Coeffs,H5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Mh,5.5,5.5,,BSSA14_Coeffs,I5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,c1,-1.134,-1.134,,BSSA14_Coeffs,J5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,c2,0.1916,0.1916,,BSSA14_Coeffs,K5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,c3,-0.008088,-0.008088,,BSSA14_Coeffs,L5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Mref,4.5,4.5,,BSSA14_Coeffs,M5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Rref (km),1,1,,BSSA14_Coeffs,N5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,h (km),4.5,4.5,,BSSA14_Coeffs,O5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Dc3 (globalCATW),0,0,,BSSA14_Coeffs,P5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Dc3 (ChinaTurkey),0.00282,0.00282,,BSSA14_Coeffs,Q5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Dc3 (ItalyJapan),-0.00244,-0.00244,,BSSA14_Coeffs,R5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,c,-0.6037,-0.6037,,BSSA14_Coeffs,S5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Vc (m/s),1500.2,1500.2,,BSSA14_Coeffs,T5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,Vref  (m/s),760,760,,BSSA14_Coeffs,U5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f1,0,0,,BSSA14_Coeffs,V5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f3,0.1,0.1,,BSSA14_Coeffs,W5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f4,-0.1483,-0.1483,,BSSA14_Coeffs,X5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f5,-0.00701,-0.00701,,BSSA14_Coeffs,Y5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f6 (1/km),-9.9,-9.9,,BSSA14_Coeffs,Z5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f7,-9.9,-9.9,,BSSA14_Coeffs,AA5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,R1 (km),111.67,111.67,,BSSA14_Coeffs,AB5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,R2 (km),270,270,,BSSA14_Coeffs,AC5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,DfR,0.096,0.096,,BSSA14_Coeffs,AD5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,DfV,0.07,0.07,,BSSA14_Coeffs,AE5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,V1 (m/s),225,225,,BSSA14_Coeffs,AF5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,V2 (m/s),300,300,,BSSA14_Coeffs,AG5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f1_2,0.698,0.698,,BSSA14_Coeffs,AH5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
