model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CB14,0.01,p0p010,SA,5,c0,-4.365,-4.365,,CB14_Coeffs,B5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c1,0.977,0.977,,CB14_Coeffs,C5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c2,0.533,0.533,,CB14_Coeffs,D5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c3,-1.485,-1.485,,CB14_Coeffs,E5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c4,-0.499,-0.499,,CB14_Coeffs,F5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c5,-2.773,-2.773,,CB14_Coeffs,G5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c6,0.248,0.248,,CB14_Coeffs,H5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c7,6.753,6.753,,CB14_Coeffs,I5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c8,0,0,,CB14_Coeffs,J5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c9,-0.214,-0.214,,CB14_Coeffs,K5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c10,0.72,0.72,,CB14_Coeffs,L5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c11,1.094,1.094,,CB14_Coeffs,M5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c12,2.191,2.191,,CB14_Coeffs,N5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c13,1.416,1.416,,CB14_Coeffs,O5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c14,-0.007,-0.007,,CB14_Coeffs,P5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c15,-0.207,-0.207,,CB14_Coeffs,Q5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c16,0.39,0.39,,CB14_Coeffs,R5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c17,0.0981,0.0981,,CB14_Coeffs,S5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c18,0.0334,0.0334,,CB14_Coeffs,T5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c19,0.00755,0.00755,,CB14_Coeffs,U5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c20,-0.0055,-0.0055,,CB14_Coeffs,V5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,Dc20 (CA),0,0,,CB14_Coeffs,W5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,Dc20 (JP),-0.0035,-0.0035,,CB14_Coeffs,X5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,Dc20 (CH),0.0036,0.0036,,CB14_Coeffs,Y5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,a2,0.168,0.168,,CB14_Coeffs,Z5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,h1,0.242,0.242,,CB14_Coeffs,AA5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,h2,1.471,1.471,,CB14_Coeffs,AB5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,h3,-0.714,-0.714,,CB14_Coeffs,AC5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,h4,1,1,,CB14_Coeffs,AD5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,h5,-0.336,-0.336,,CB14_Coeffs,AE5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,h6,-0.27,-0.27,,CB14_Coeffs,AF5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,k1,865,865,,CB14_Coeffs,AG5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,k2,-1.186,-1.186,,CB14_Coeffs,AH5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,k3,1.839,1.839,,CB14_Coeffs,AI5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c,1.88,1.88,,CB14_Coeffs,AJ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,n,1.18,1.18,,CB14_Coeffs,AK5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,f1,0.734,0.734,,CB14_Coeffs,AL5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,f2,0.492,0.492,,CB14_Coeffs,AM5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,t1,0.404,0.404,,CB14_Coeffs,AN5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,t2,0.325,0.325,,CB14_Coeffs,AO5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
