model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CY14,0.01,p0p010,SA,5,c2,1.06,1.06,,CY14_Coeffs,B5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c4,-2.1,-2.1,,CY14_Coeffs,C5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c4a,-0.5,-0.5,,CY14_Coeffs,D5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cRB,50,50,,CY14_Coeffs,E5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c8,0,0,,CY14_Coeffs,F5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c8a,0.2695,0.2695,,CY14_Coeffs,G5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c1,-1.5065,-1.5065,,CY14_Coeffs,H5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c1a,0.165,0.165,,CY14_Coeffs,I5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c1b,-0.255,-0.255,,CY14_Coeffs,J5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c1c,-0.165,-0.165,,CY14_Coeffs,K5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c1d,0.255,0.255,,CY14_Coeffs,L5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cn,16.0875,16.0875,,CY14_Coeffs,M5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cM,4.9993,4.9993,,CY14_Coeffs,N5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c3,1.9636,1.9636,,CY14_Coeffs,O5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c5,6.4551,6.4551,,CY14_Coeffs,P5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cHM,3.0956,3.0956,,CY14_Coeffs,Q5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c6,0.4908,0.4908,,CY14_Coeffs,R5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c7,0.0352,0.0352,,CY14_Coeffs,S5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c7b,0.0462,0.0462,,CY14_Coeffs,T5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c8b,0.4833,0.4833,,CY14_Coeffs,U5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c9,0.9228,0.9228,,CY14_Coeffs,V5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c9a,0.1202,0.1202,,CY14_Coeffs,W5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c9b,6.8607,6.8607,,CY14_Coeffs,X5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c11,0,0,,CY14_Coeffs,Y5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,c11b,-0.4536,-0.4536,,CY14_Coeffs,Z5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cg1,-0.007146,-0.007146,,CY14_Coeffs,AA5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cg2,-0.006758,-0.006758,,CY14_Coeffs,AB5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,cg3,4.2542,4.2542,,CY14_Coeffs,AC5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f1,-0.521,-0.521,,CY14_Coeffs,AD5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f2,-0.1417,-0.1417,,CY14_Coeffs,AE5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f3,-0.00701,-0.00701,,CY14_Coeffs,AF5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f4,0.102151,0.102151,,CY14_Coeffs,AG5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f5,0,0,,CY14_Coeffs,AH5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f6,300,300,,CY14_Coeffs,AI5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,t1,0.4,0.4,,CY14_Coeffs,AJ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,t2,0.26,0.26,,CY14_Coeffs,AK5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,s1,0.4912,0.4912,,CY14_Coeffs,AL5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,s2,0.3762,0.3762,,CY14_Coeffs,AM5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,s3,0.8,0.8,,CY14_Coeffs,AN5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,"s2,JP",0.4528,0.4528,,CY14_Coeffs,AO5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,gJp-It,1.5817,1.5817,,CY14_Coeffs,AP5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,gWn,0.7594,0.7594,,CY14_Coeffs,AQ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f1Jp,-0.6846,-0.6846,,CY14_Coeffs,AR5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f5JP,0.459,0.459,,CY14_Coeffs,AS5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.01,p0p010,SA,5,f6JP,800,800,,CY14_Coeffs,AT5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c2,1.06,1.06,,CY14_Coeffs,B6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c4,-2.1,-2.1,,CY14_Coeffs,C6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c4a,-0.5,-0.5,,CY14_Coeffs,D6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cRB,50,50,,CY14_Coeffs,E6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c8,0,0,,CY14_Coeffs,F6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c8a,0.2695,0.2695,,CY14_Coeffs,G6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c1,-1.4798,-1.4798,,CY14_Coeffs,H6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c1a,0.165,0.165,,CY14_Coeffs,I6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c1b,-0.255,-0.255,,CY14_Coeffs,J6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c1c,-0.165,-0.165,,CY14_Coeffs,K6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c1d,0.255,0.255,,CY14_Coeffs,L6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cn,15.7118,15.7118,,CY14_Coeffs,M6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cM,4.9993,4.9993,,CY14_Coeffs,N6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c3,1.9636,1.9636,,CY14_Coeffs,O6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c5,6.4551,6.4551,,CY14_Coeffs,P6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cHM,3.0963,3.0963,,CY14_Coeffs,Q6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c6,0.4925,0.4925,,CY14_Coeffs,R6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c7,0.0352,0.0352,,CY14_Coeffs,S6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c7b,0.0472,0.0472,,CY14_Coeffs,T6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c8b,1.2144,1.2144,,CY14_Coeffs,U6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c9,0.9296,0.9296,,CY14_Coeffs,V6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c9a,0.1217,0.1217,,CY14_Coeffs,W6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c9b,6.8697,6.8697,,CY14_Coeffs,X6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c11,0,0,,CY14_Coeffs,Y6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,c11b,-0.4536,-0.4536,,CY14_Coeffs,Z6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cg1,-0.007249,-0.007249,,CY14_Coeffs,AA6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cg2,-0.006758,-0.006758,,CY14_Coeffs,AB6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,cg3,4.2386,4.2386,,CY14_Coeffs,AC6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f1,-0.5055,-0.5055,,CY14_Coeffs,AD6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f2,-0.1364,-0.1364,,CY14_Coeffs,AE6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f3,-0.007279,-0.007279,,CY14_Coeffs,AF6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f4,0.10836,0.10836,,CY14_Coeffs,AG6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f5,0,0,,CY14_Coeffs,AH6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f6,300,300,,CY14_Coeffs,AI6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,t1,0.4026,0.4026,,CY14_Coeffs,AJ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,t2,0.2637,0.2637,,CY14_Coeffs,AK6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,s1,0.4904,0.4904,,CY14_Coeffs,AL6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,s2,0.3762,0.3762,,CY14_Coeffs,AM6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,s3,0.8,0.8,,CY14_Coeffs,AN6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,"s2,JP",0.4551,0.4551,,CY14_Coeffs,AO6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,gJp-It,1.574,1.574,,CY14_Coeffs,AP6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,gWn,0.7606,0.7606,,CY14_Coeffs,AQ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f1Jp,-0.6681,-0.6681,,CY14_Coeffs,AR6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.02,p0p020,SA,6,f5JP,0.458,0.458,,CY14_Coeffs,AS6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
