model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
I14,0.01,p0p010,SA,5,a1,7.0887,7.0887,,I14_Coeffs,B5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,a2,0.2058,0.2058,,I14_Coeffs,C5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,b1,2.9935,2.9935,,I14_Coeffs,D5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,b2,-0.2287,-0.2287,,I14_Coeffs,E5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,a1_2,9.0138,9.0138,,I14_Coeffs,F5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,a2_2,-0.0794,-0.0794,,I14_Coeffs,G5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,b1_2,2.9935,2.9935,,I14_Coeffs,H5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,b2_2,-0.2287,-0.2287,,I14_Coeffs,I5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,a3,0.0589,0.0589,,I14_Coeffs,J5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,x,-0.854,-0.854,,I14_Coeffs,K5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,g,-0.0027,-0.0027,,I14_Coeffs,L5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.01,p0p010,SA,5,j,0.08,0.08,,I14_Coeffs,M5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.02,p0p020,SA,6,a1,7.1157,7.1157,,I14_Coeffs,B6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.02,p0p020,SA,6,a2,0.2058,0.2058,,I14_Coeffs,C6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.02,p0p020,SA,6,b1,2.9935,2.9935,,I14_Coeffs,D6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.02,p0p020,SA,6,b2,-0.2287,-0.2287,,I14_Coeffs,E6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.02,p0p020,SA,6,a1_2,9.0408,9.0408,,I14_Coeffs,F6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
