source_workbook,source_workbook_sha256,sheet,cell,formula
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,D11,"=IF(C11=""Arithmetic"",""Weighted average of the spectral values"",""Weighted average of the natural logarithm of the spectral values"")"
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,H13,"=IF(AND(B39<450,G14>0,SUM(C14:F14)>0),""I08 Model cannot be used for Vs30 less than 450 m/sec. Results are obtained assuming 0 weight for I08 and normalizing the weights of the rest of the models"",IF(AND(B39<450,G14>0),""I08 Model cannot be used for Vs30 less than 450 m/sec. "",""""))"
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,E16,"=IF(AND(SUM($C$14:$G$14)>0.99,SUM($C$14:$G$14)<1.01),"" "",""WARNING: Weights should sum up to 1"")"
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,D17,"=""Modification factors are calculated in Sheet DSF"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,K18,"=IF($AB$52>0,""WARNING: You entered a value Out of Range of the GMPE"","""")"
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,J21,"=""User defined: ""&C17&""% Damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,F22,"=""PSa Median for 5% damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,G22,"=""PSa Median + "" &$C$16 & "".σ for 5% damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,H22,"=""PSa Median - "" &$C$16 & "".σ for 5% damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,J22,"=""PSa Median for "" & $C$17 & ""% damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,K22,"=""PSa Median + ""&$C$16&"".σ for ""&$C$17 &"" % damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,L22,"=""PSa Median - ""&$C$16&"".σ for ""&$C$17 &"" % damping"""
NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm,05c1346e3c422a9e48bf249cd2022b5ad12d2b987df71b383d247f2c83b0c74b,Main,M22,"=""Sd Median for ""&$C$17 &"" % damping"""
