release_file_id,path,file_name,component,damping_code,damping_percent,sheet_name,file_size_bytes,sha256,row_count,column_count
1,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d005_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d005_public_version.xlsx,RotD50,005,0.5,ROTD50_d005,51195166,27d6e36fffc49cf5db2a13518c8099f59715cd1a5965676b6ffc91fc0decc951,21540,274
2,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d010_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d010_public_version.xlsx,RotD50,010,1,ROTD50_d010,51067967,4e33f3fdcca850334ab6758aeb0def49d51c2ee332ab33a52c4b46d81239d3fe,21540,274
3,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d020_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d020_public_version.xlsx,RotD50,020,2,ROTD50_d020,50976263,c696612c9f989b315fcdb018bca1ce1c3732e0485a6d14c4ab8fa273a319a31a,21540,274
4,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d030_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d030_public_version.xlsx,RotD50,030,3,ROTD50_d030,50911911,18f6814db48f123236f2331ace8c09f93dfbc98796befea6f80ba41ce3333f63,21540,274
5,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d050_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d050_public_version.xlsx,RotD50,050,5,ROTD50_d050,50231081,80726e342a31cff99b66b30946415dd1b9ebbdca4e0d922af0b81eaf4b562b52,21540,274
6,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d070_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d070_public_version.xlsx,RotD50,070,7,ROTD50_d070,50829762,210f683b53ba47630b267938134f2e50d687d22cd0d85f884b71a1ed7d2ade7e,21540,274
7,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d100_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d100_public_version.xlsx,RotD50,100,10,ROTD50_d100,50718595,a4a0dea4fc905781c7672de5e27cb1dfcfc66138dea4eeba31060dd74dd00976,21540,274
8,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d150_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d150_public_version.xlsx,RotD50,150,15,ROTD50_d150,50629890,6c7488deb963e6be0dfd4af7fc06ad42feabfa1b6ea157b680e6d1808d771feb,21540,274
9,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d200_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d200_public_version.xlsx,RotD50,200,20,ROTD50_d200,50551544,3a0ad944e613e2abd0f04dbc201f4f996914bb5f9dcaabf559dc61e8185f8b84,21540,274
10,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d250_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d250_public_version.xlsx,RotD50,250,25,ROTD50_d250,50484150,50d846e6c6db59013ee0d1c97b2884e5fd58cc5b215f8d3cf31be52a212441b2,21540,274
11,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGA_West2_Flatfile_RotD50_d300_public_version.xlsx,Updated_NGA_West2_Flatfile_RotD50_d300_public_version.xlsx,RotD50,300,30,ROTD50_d300,50392909,9a665d22d6b80764018c4624180645bc6e22fb5b6b4ff326a55632641a38573c,21540,274
12,/Users/person/Git/NGA-West2_Flatfile/data/Updated_NGAW2_Flatfile_Vertical_5percentdamping.xlsx,Updated_NGAW2_Flatfile_Vertical_5percentdamping.xlsx,Vertical,050,5,As_Recorded_d050,51268141,8f79ff1fe0b029a0b11e9db24ba429431e2614527c950b2d8eb994ab2390e514,21540,276
